Year,Woman,Country-W,Time-W (s),Man,Country-M,Time-M (s)
1928,Elizabeth Robinson,USA,12.2,Percy Williams ,CAN,10.8
1932,Stanislawa Walasiewicz,POL,11.9,Eddie Tolan,USA,10.3
1936,Helen Stephens,USA,11.5,Jesse Owens,USA,10.3
1948,Fanny Blankers-Koen,NED,11.9,Harrison Dillard,USA,10.3
1952,Marjorie Jackson,AUS,11.5,Lindy Remingo,USA,10.4
1956,Betty Cuthbert,AUS,11.5,Bobby Marrow,USA,10.5
1960,Wilma Rudolph,USA,11,Armin Hary,GER,10.2
1964,Wyomia Tyus,USA,11.4,Bob Hayes,USA,10
1968,Wyomia Tyus,USA,11,Jim Hines,USA,9.95
1972,Renate Stecher,GDR,11.07,Valery Borzov,URS,10.14
1976,Annegret Richter,FRG,11.08,Hasley Crawford,TRI,10.06
1980,Lyudmila Kondratyeva,URS,11.06,Alan Wells,GBR,10.25
1984,Evelyn Ashford,USA,10.97,Carl Lewis,USA,9.99
1988,Florence Griffith-Joyner,USA,10.54,Carl Lewis,USA,9.92
1992,Gail Devers,USA,10.82,Linford Christie,GBR,9.96
1996,Gail Devers,USA,10.94,Donovan Bailey,CAN,9.84
2000,Ekaterini Thanou,GRE,11.12,Maurice Green,USA,9.87
2004,Yuliya Nesterneko,BLR,10.93,Justin Gatlin,USA,9.85
2008,Shelly-Ann Fraser-Pryce,JAM,10.78,Usain Bolt,JAM,9.69
2012,Shelly-Ann Fraser-Pryce,JAM,10.75,Usain Bolt,JAM,9.63
2016,Elaine Thompson,JAM,10.71,Usain Bolt,JAM,9.81
